frame,track_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,centroid_x,centroid_y
0,1,bus,657.5808,448.5341,852.97906,730.22546,755.2799,589.37976
0,2,car,605.7717,490.08615,699.81793,599.2395,652.7948,544.66284
0,3,car,689.55615,350.69925,769.6388,428.44693,729.5975,389.5731
0,4,car,187.51225,842.1803,424.06207,1078.8007,305.78717,960.4905
0,5,car,1396.9537,622.5416,1508.097,742.69086,1452.5254,682.6162
0,6,car,576.5182,737.9471,736.4229,940.6547,656.4706,839.3009
0,7,car,297.59732,556.0866,441.2949,678.0085,369.4461,617.04755
0,8,car,548.8176,408.4978,645.26404,493.6826,597.04083,451.0902
0,9,car,0.20957947,842.7102,171.17665,1059.034,85.693115,950.87213
0,10,car,416.81268,847.6279,559.3135,1015.8079,488.06308,931.7179
0,11,car,1521.2109,832.7101,1640.1489,963.84125,1580.6799,898.27563
0,12,person,1215.2693,510.4383,1240.306,561.3353,1227.7876,535.88684
0,13,person,1780.6161,903.5565,1814.4569,997.7771,1797.5365,950.6668
0,14,person,38.179924,986.56287,111.8726,1079.4895,75.02626,1033.0261
0,15,person,947.3031,578.3095,983.3192,662.2941,965.31116,620.3018
0,16,car,605.3973,308.93088,694.4477,372.62393,649.9225,340.7774
0,17,car,748.6548,196.83528,809.33026,236.48787,778.99255,216.66158
0,18,car,791.59155,266.23856,841.0183,309.9374,816.30493,288.08798
0,19,car,1317.1099,603.35425,1381.036,686.5407,1349.073,644.9475
0,20,car,734.32874,280.7525,779.1244,325.09195,756.72656,302.92224
0,21,truck,1312.5448,454.53845,1402.0797,566.9486,1357.3123,510.74353
1,1,bus,654.01,449.81595,850.80786,733.51715,752.40894,591.66656
1,2,car,600.3468,495.85352,693.9099,604.3569,647.12836,550.1052
1,3,car,688.70667,353.77264,767.9091,430.6125,728.30786,392.19257
1,4,car,185.33907,854.4222,410.41238,1079.2561,297.87573,966.8391
1,5,car,1396.4181,622.3504,1507.4817,742.4283,1451.95,682.38934
1,6,car,570.927,740.8042,734.871,948.6246,652.899,844.71436
1,7,car,291.3058,559.2756,434.79675,680.9299,363.05127,620.1027
1,8,car,546.5467,409.7695,645.5971,497.21732,596.0719,453.4934
1,9,car,0.0,849.8033,163.67448,1058.7197,81.83724,954.2615
1,10,car,411.38828,859.38727,551.24927,1024.4205,481.3188,941.90393
1,11,car,1521.3865,833.0213,1639.1562,962.90594,1580.2714,897.9636
1,12,person,1216.2224,512.9886,1240.5061,562.28455,1228.3643,537.6366
1,13,person,1781.138,905.0125,1813.0071,993.6018,1797.0725,949.3071
1,15,person,947.18646,584.2236,980.7451,662.373,963.9658,623.2983
1,16,car,609.8813,310.97992,697.46576,373.79523,653.6735,342.38757
1,17,car,749.0208,197.46043,807.1563,235.4131,778.08856,216.43677
1,18,car,789.02515,265.10913,841.1472,311.25693,815.0862,288.18304
1,21,truck,1310.5297,453.71332,1401.1449,567.43365,1355.8373,510.5735
2,1,bus,649.3758,450.5399,850.9377,741.2432,750.15674,595.89154
2,2,car,597.9059,499.8985,691.2818,608.018,644.5939,553.95825
2,3,car,686.2394,355.01154,766.9906,433.34775,726.615,394.17963
2,4,car,182.26994,866.8807,395.49283,1078.7533,288.88138,972.817
2,5,car,1396.0756,622.21277,1507.291,742.46094,1451.6833,682.33685
2,6,car,564.9032,743.535,734.58453,958.84973,649.7439,851.1924
2,7,car,284.68668,562.2658,430.7093,685.9187,357.698,624.0923
2,8,car,543.08105,410.60086,644.8433,500.50296,593.96216,455.5519
2,9,car,0.0,860.17377,155.43239,1059.0089,77.716194,959.5913
2,10,car,398.23218,869.6561,549.3729,1048.1992,473.80255,958.9277
2,11,car,1521.0181,833.6151,1639.4673,964.32104,1580.2427,898.9681
2,12,person,1217.1431,511.49066,1241.6046,561.1156,1229.3738,536.3031
2,13,person,1780.9961,903.2243,1813.4783,993.4743,1797.2372,948.3493
2,16,car,611.0981,311.99954,697.46594,374.28513,654.282,343.14233
2,17,car,747.14026,196.90157,806.5297,235.66248,776.83496,216.28201
2,18,car,788.60284,266.06555,841.0552,312.58093,814.829,289.32324
2,23,car,588.93646,313.82614,692.0412,375.74146,640.48883,344.7838
2,19,car,1320.2185,603.85205,1382.9438,685.6062,1351.5812,644.7291
3,1,bus,646.4265,452.90274,849.5981,746.07684,748.0123,599.4898
3,2,car,595.8688,503.14835,689.15857,610.9566,642.5137,557.0525
3,3,car,679.6707,353.93756,766.0725,437.94412,722.8716,395.94086
3,4,car,181.4167,879.15326,384.9139,1079.711,283.1653,979.4321
3,5,car,1397.3452,622.2684,1508.3629,742.4024,1452.854,682.3354
3,6,car,560.2321,749.4759,730.83246,966.1444,645.5323,857.8102
3,7,car,277.3774,563.80597,426.6663,690.0634,352.02185,626.9347
3,8,car,539.7444,414.7865,639.57196,502.90533,589.6582,458.84592
3,9,car,0.0,871.3333,149.98059,1070.759,74.990295,971.04614
3,10,car,390.3575,880.2487,539.81744,1056.7352,465.08746,968.49194
3,11,car,1522.2203,834.94904,1638.8466,963.66235,1580.5334,899.30566
3,12,person,1217.7319,513.19696,1242.7822,563.91925,1230.2571,538.5581
